기준_년분기_코드,상권_코드,상권_코드_명,자치구,상권유형,서비스_업종_코드,서비스_업종_코드_명,전체_점포_수,p_순감소,예측_개업건수,예측_폐업건수,예측_개업률,예측_폐업률
20261,3110001,이북5도청사,종로구,골목상권,CS100001,한식음식점,11,0.16699405593540176,0.33801060605073024,0.28179026640066884,3.072823691370275,2.5617296945515347
20261,3110002,독립문역 1번,종로구,골목상권,CS100001,한식음식점,6,0.10161191870674172,0.1956611859503488,0.17274711912751745,3.261019765839147,2.8791186521252907
20261,3110003,세검정초등학교,종로구,골목상권,CS100001,한식음식점,5,0.10890399703028267,0.16370899502625982,0.12884699068130204,3.274179900525197,2.5769398136260406
20261,3110003,세검정초등학교,종로구,골목상권,CS100009,호프-간이주점,7,0.14442785977126987,0.13976757530273218,0.1957611919699891,1.9966796471818882,2.79658845671413
20261,3110003,세검정초등학교,종로구,골목상권,CS100010,커피-음료,7,0.15425993991416997,0.22966521264744835,0.23811501480278432,3.2809316092492624,3.401643068611205
20261,3110005,세검정,종로구,골목상권,CS100001,한식음식점,7,0.18600336392549882,0.19002352323899543,0.1632248401803508,2.714621760557078,2.3317834311478687
20261,3110007,사직공원(한국사회과학도서관),종로구,골목상권,CS100010,커피-음료,6,0.18221067122240653,0.21923823359257108,0.2165078779294998,3.6539705598761842,3.60846463215833
20261,3110008,배화여자대학교(박노수미술관),종로구,골목상권,CS100001,한식음식점,16,0.2519194179226991,0.5929023639073626,0.4645287594129574,3.7056397744210163,2.9033047463309836
20261,3110008,배화여자대학교(박노수미술관),종로구,골목상권,CS100003,일식음식점,10,0.2224119110409753,0.291706099287358,0.3688248185905415,2.9170609928735804,3.688248185905415
20261,3110008,배화여자대학교(박노수미술관),종로구,골목상권,CS100004,양식음식점,19,0.3162118344969859,0.5772592456639942,0.711073427970786,3.0382065561262857,3.7424917261620316
20261,3110008,배화여자대학교(박노수미술관),종로구,골목상권,CS100005,제과점,8,0.22044736192057235,0.21715828529052927,0.26981466705882245,2.714478566131616,3.3726833382352805
20261,3110008,배화여자대학교(박노수미술관),종로구,골목상권,CS100006,패스트푸드점,6,0.18243657676947528,0.17819447005552896,0.25549882842841853,2.969907834258816,4.2583138071403095
20261,3110008,배화여자대학교(박노수미술관),종로구,골목상권,CS100009,호프-간이주점,12,0.30867490814255444,0.28806738019403083,0.36301350097956064,2.4005615016169237,3.0251125081630055
20261,3110008,배화여자대학교(박노수미술관),종로구,골목상권,CS100010,커피-음료,46,0.3998461161175995,1.509128805165787,1.8331285617967787,3.2807147938386674,3.985062090862562
20261,3110009,자하문터널,종로구,골목상권,CS100001,한식음식점,10,0.14620515132437187,0.33963694697275076,0.24772404347953858,3.3963694697275075,2.4772404347953856
20261,3110009,자하문터널,종로구,골목상권,CS100004,양식음식점,7,0.13348569297696128,0.20515869985276217,0.21595693759987247,2.9308385693251737,3.0850991085696067
20261,3110009,자하문터널,종로구,골목상권,CS100005,제과점,5,0.14457624748404907,0.12439649681922454,0.14388685083430497,2.487929936384491,2.8777370166860994
20261,3110009,자하문터널,종로구,골목상권,CS100010,커피-음료,13,0.2627567809557348,0.4221198109643364,0.4197373145071614,3.2470754689564334,3.2287485731320107
20261,3110010,평창동서측,종로구,골목상권,CS100001,한식음식점,12,0.2955603457746175,0.37636368021373445,0.3026086718027221,3.13636400178112,2.5217389316893506
20261,3110010,평창동서측,종로구,골목상권,CS100008,분식전문점,6,0.16409418392893899,0.17658380949477334,0.1945855322108607,2.9430634915795557,3.2430922035143452
20261,3110010,평창동서측,종로구,골목상권,CS100010,커피-음료,8,0.1858146889844092,0.2579324686489943,0.25202445296547393,3.2241558581124283,3.150305662068424
20261,3110012,성곡미술관,종로구,골목상권,CS100001,한식음식점,12,0.1743382232576231,0.4162112919585763,0.3269558869153462,3.468427432988136,2.7246323909612182
20261,3110012,성곡미술관,종로구,골목상권,CS100003,일식음식점,8,0.20187060026851347,0.21366206057439632,0.2774314250247313,2.670775757179954,3.467892812809141
20261,3110012,성곡미술관,종로구,골목상권,CS100004,양식음식점,10,0.15807344308155735,0.2952237716246687,0.3433569642247561,2.952237716246687,3.433569642247561
20261,3110012,성곡미술관,종로구,골목상권,CS100010,커피-음료,12,0.24935759430314078,0.4017529553385467,0.4179534653543779,3.3479412944878892,3.482945544619816
20261,3110014,경복고등학교,종로구,골목상권,CS100001,한식음식점,5,0.10311978329748726,0.1412732090816133,0.11695983829560559,2.8254641816322663,2.339196765912112
20261,3110014,경복고등학교,종로구,골목상권,CS100010,커피-음료,7,0.1682888652464709,0.18773674611313723,0.21445171313472455,2.6819535159019603,3.0635959019246366
20261,3110016,평창동동측,종로구,골목상권,CS100010,커피-음료,7,0.15884058923046301,0.17880185799438258,0.19544231111047008,2.5543122570626084,2.7920330158638587
20261,3110017,정독도서관,종로구,골목상권,CS100010,커피-음료,5,0.12421465910258152,0.16045183128278395,0.18724875466200194,3.209036625655679,3.744975093240039
20261,3110018,중앙고등학교,종로구,골목상권,CS100001,한식음식점,9,0.11798851676652261,0.3031160705942052,0.2537700362116848,3.3679563399356134,2.8196670690187204
20261,3110018,중앙고등학교,종로구,골목상권,CS100010,커피-음료,19,0.2862532920573817,0.5652525139180588,0.717328503037374,2.9750132311476776,3.7754131738809162
