,개업_계수,개업_p,폐업_계수,폐업_p,방향
const,-5.004592865335207,1.42399924399085e-45,-3.39265512453167,7.141535055150754e-38,같음
log_점포수,-0.09887078738969145,1.544234131619512e-05,0.0650014332247622,0.0010445194175943602,반대
log_유동인구,0.09830831235837037,7.042450490575259e-05,0.0531118159331902,0.009502880558931562,같음
log_면적,0.07449559718259757,0.057146739735916004,-0.04036632408953998,0.1907560973129252,반대
log_집객시설,-0.02265971590173764,0.39971681812197357,-0.06489872765351999,0.0014472326459787886,같음
외식_비중,0.4723752256104379,0.0015390468953210346,-0.4835874368041725,0.00012579323795048619,반대
프랜차이즈_비율,0.1890539276147208,0.02916254846058693,0.028992808189620974,0.6985098597604018,같음
svc_분식전문점,-0.2230762325036034,1.0815646933893957e-06,0.2831517449191902,2.7569533862348275e-12,반대
svc_양식음식점,-0.19063753364247069,0.0023192801418331177,0.24041501350420783,7.181363185443038e-06,반대
svc_일식음식점,-0.3092823253603265,2.1954586074595058e-05,0.26692609254584687,6.836314307661484e-05,반대
svc_제과점,-0.3847857017269454,1.1029728387721618e-07,0.19386918836727857,0.0009231985746992043,반대
svc_중식음식점,-0.23121105681066684,0.0007847554406062998,0.30379146869943907,1.902831813276278e-06,반대
svc_치킨전문점,-0.576010207910636,1.1643635246014073e-09,0.3150887841469347,6.816524790562973e-06,반대
svc_커피-음료,-0.028840514312260732,0.30916971505807167,0.2462242951026476,9.925554427846187e-22,반대
svc_패스트푸드점,-0.3671613757276075,2.0466371285472244e-06,0.4382898296038931,1.4768731976092512e-11,반대
svc_호프-간이주점,-0.47929888793042297,2.1109724216477234e-28,0.05739119246380058,0.08308204760635386,반대
