분위,점포수,한식음식점,대조군,격차
10%,4.999999999999999,0.13757536349670502,0.15124106264647255,-0.013665699149767535
25%,6.0,0.145000487510398,0.17432374167078463,-0.029323254160386614
50%,9.000000000000002,0.17499230422994883,0.23340751442813756,-0.05841521019818874
75%,15.0,0.26549792594247634,0.30773347537628765,-0.042235549433811304
90%,27.0,0.33304741119794223,0.3963830837689982,-0.06333567257105599
