,계수,오즈비,AME(%p),p값
패스트푸드점,0.801876768865789,2.229721676338157,13.88628191381906,2.5601659798247653e-19
치킨전문점,0.6100129442527924,1.8404552219450965,10.56373253829833,4.360468800696166e-10
일식음식점,0.5803167303848437,1.786604212985073,10.049476466100762,1.1976240186381205e-09
제과점,0.5507078368200209,1.7344803124827701,9.53673253940121,1.5761499746761214e-11
분식전문점,0.5350865177506298,1.7075959732260317,9.266214613348673,7.045985925078508e-19
양식음식점,0.46303087267223975,1.5888823947042878,8.018410661557072,8.13468223076737e-09
호프-간이주점,0.4015856457107262,1.4941920794926595,6.954349727290274,3.2066780956760477e-16
커피-음료,0.3719535333666794,1.4505655768283756,6.441203715723674,3.7507120887242803e-19
중식음식점,0.33851598306747566,1.402864170847317,5.862158071816309,0.0001306167383752436
