전체_점포_수,칸수,다음분기_사건발생률,순감소율_전체,순감소율_사건있는칸만
5,5487.0,0.29086932750136685,0.14579916165482049,0.5012531328320802
6-7,7188.0,0.3654702281580412,0.17710072342793545,0.4845831747240198
8-10,6295.0,0.45416997617156474,0.21334392374900715,0.4697446659671214
11-15,5060.0,0.5845849802371541,0.27391304347826084,0.4685598377281947
16-25,4262.0,0.7386203660253402,0.31933364617550447,0.4323379923761118
26-50,2758.0,0.8803480783176215,0.38107324147933286,0.4328665568369028
51+,825.0,0.9793939393939394,0.37696969696969695,0.3849009900990099
