모델,학습,테스트,격차
④ 랜덤포레스트,0.9997972424979724,0.8957826439578265,0.10401459854014594
③ 트리(max_depth=5),0.9049067315490673,0.8941605839416058,0.01074614760746151
⑤ XGBoost,0.9453568532035685,0.8876723438767234,0.0576845093268451
② 로지스틱,0.8839213300892133,0.8795620437956204,0.0043592862935928345
① 베이스라인,0.8452960259529603,0.8450932684509327,0.00020275750202758402
③ 단일 트리(제한 없음),0.9997972424979724,0.8422546634225466,0.1575425790754258
