팀명,OPS,ERA,승률,총관중수,홈경기수,평균관중
KT,0.76,4.53,0.593,646548,46,14055.0
삼성,0.782,4.11,0.614,1048271,45,23295.0
NC,0.769,4.65,0.477,564312,45,12540.0
한화,0.78,4.61,0.482,751629,45,16703.0
두산,0.741,3.84,0.528,903718,43,21017.0
LG,0.754,4.56,0.578,1110786,48,23141.0
KIA,0.775,4.25,0.544,788890,44,17929.0
SSG,0.751,5.85,0.371,814818,43,18949.0
롯데,0.699,4.46,0.455,840383,42,20009.0
키움,0.658,5.0,0.363,656781,50,13136.0
